samples,min_time,max_time,duration_ps,toggles,toggle_rate,avg_value,median_value,value_range,glitches,mean_time_diff,min_time_diff,max_time_diff,avg_jump,median_jump,jump_std,jump_max,bitflip_rate,entropy,unique_values,file,signal,signal_type,label,auto_label
70,0,825000,825000,69,83.63636363636364,7.4714285714285715,7.5,15,0,11956.521739130434,10000,145000,6.826086956521739,5.0,2.760783976763051,11,2.3076923076923075,3.99131383342181,16,dumptrojanA.vcd,count_trojan [3:0] $end,wire,1,1
81,0,825000,825000,80,96.96969696969697,7.432098765432099,7.0,15,0,10312.5,10000,35000,3.1875,2.0,3.77853725004796,15,1.5227272727272727,3.941675935898547,16,dumptrojanB.vcd,count_trojan [3:0] $end,wire,1,1
81,0,925000,925000,80,86.48648648648648,7.580246913580247,8.0,15,0,11562.5,10000,135000,2.025,1.0,3.605464602516574,15,1.423728813559322,3.998437877935501,16,dumptrojanC.vcd,count_trojan [3:0] $end,wire,1,1
53,0,995000,995000,52,52.26130653266332,7.811320754716981,8.0,15,0,19134.615384615383,10000,485000,2.076923076923077,1.0,3.7305709701483516,15,1.4102564102564104,3.986340029585875,16,dumptrojanD.vcd,count_trojan [3:0] $end,wire,1,1
3,0,645000,645000,2,3.1007751937984493,10.0,15.0,15,0,322500.0,10000,635000,15.0,15.0,0.0,15,0.0,0.9182958340544896,2,dumptrojanE.vcd,count_trojan [3:0] $end,wire,1,1
38,0,995000,995000,37,37.185929648241206,7.5,7.5,15,0,26891.891891891893,10000,635000,1.7567567567567568,1.0,3.1657406409397453,15,1.4285714285714286,3.9708400131019834,16,dumptrojanF.vcd,count_trojan [3:0] $end,wire,1,0
40,0,505000,505000,39,77.22772277227723,7.375,7.0,15,0,12948.71794871795,10000,125000,2.1025641025641026,1.0,3.469980209763057,15,1.4285714285714286,3.958694969562842,16,dumptrojanG.vcd,count_trojan [3:0] $end,wire,1,1
51,0,515000,515000,50,97.08737864077669,7.450980392156863,8.0,15,0,10300.0,10000,25000,3.84,4.0,2.6933993391251883,8,1.0,2.995889491288273,8,dumptrustedA.vcd,count_trusted [3:0] $end,wire,0,1
99,0,995000,995000,98,98.49246231155779,7.696969696969697,8.0,15,0,10153.061224489797,10000,25000,1.8571428571428572,1.0,3.356382892705923,15,1.4189189189189189,3.997219969377995,16,dumptrustedB.vcd,count_trusted [3:0] $end,wire,0,0
99,0,995000,995000,98,98.49246231155779,7.303030303030303,7.0,15,0,10153.061224489797,10000,25000,1.8571428571428572,1.0,3.356382892705923,15,1.4109589041095891,3.997219969377995,16,dumptrustedC.vcd,count_trusted [3:0] $end,wire,0,0
99,0,995000,995000,98,98.49246231155779,4.454545454545454,4.0,9,0,10153.061224489797,10000,25000,1.7346938775510203,1.0,2.3103627262179436,9,1.1694915254237288,3.3212469882327063,10,dumptrustedD.vcd,count_trusted [3:0] $end,wire,0,0
