samples,min_time,max_time,duration_ps,toggles,toggle_rate,avg_value,glitches,mean_time_diff,avg_jump,jump_std,jump_max,bitflip_rate,entropy,file,signal,label,auto_label
161,0,825000,825000,160,193.93939393939394,0.5031055900621118,0,5156.25,1.0,0.0,1,1.0,0.9999721711292531,dumptrojanA.vcd,clk $end,1,0
161,0,825000,825000,160,193.93939393939394,0.5031055900621118,0,5156.25,1.0,0.0,1,1.0,0.9999721711292531,dumptrojanB.vcd,clk $end,1,0
161,0,925000,925000,160,172.97297297297297,0.5031055900621118,0,5781.25,1.0,0.0,1,1.0,0.9999721711292531,dumptrojanC.vcd,clk $end,1,0
106,0,1000000,1000000,105,105.0,0.5,0,9523.809523809523,1.0,0.0,1,1.0,1.0,dumptrojanD.vcd,clk $end,1,0
76,0,1000000,1000000,75,75.0,0.5,0,13333.333333333334,1.0,0.0,1,1.0,1.0,dumptrojanE.vcd,clk $end,1,0
76,0,1000000,1000000,75,75.0,0.5,0,13333.333333333334,1.0,0.0,1,1.0,1.0,dumptrojanF.vcd,clk $end,1,0
80,0,510000,510000,79,154.90196078431373,0.5,0,6455.696202531645,1.0,0.0,1,1.0,1.0,dumptrojanG.vcd,clk $end,1,0
101,0,515000,515000,100,194.17475728155338,0.504950495049505,0,5150.0,1.0,0.0,1,1.0,0.999929285432166,dumptrustedA.vcd,clk $end,0,0
198,0,1000000,1000000,197,197.0,0.5,0,5076.1421319796955,1.0,0.0,1,1.0,1.0,dumptrustedB.vcd,clk $end,0,0
198,0,1000000,1000000,197,197.0,0.5,0,5076.1421319796955,1.0,0.0,1,1.0,1.0,dumptrustedC.vcd,clk $end,0,0
198,0,1000000,1000000,197,197.0,0.5,0,5076.1421319796955,1.0,0.0,1,1.0,1.0,dumptrustedD.vcd,clk $end,0,0
