samples,min_time,max_time,duration_ps,toggles,toggle_rate,avg_value,glitches,mean_time_diff,avg_jump,jump_std,jump_max,bitflip_rate,entropy,file,signal,label,auto_label
70,0,825000,825000,69,8.363636363636364e-05,7.4714285714285715,0,11785.714285714286,6.826086956521739,2.760783976763051,11,2.869565217391304,0.886540892533551,dumptrojanA.vcd,count_trojan [3:0] $end,1,1
81,0,825000,825000,80,9.696969696969698e-05,7.432098765432099,0,10185.185185185184,3.1875,3.77853725004796,15,2.075,2.0495276647333993,dumptrojanB.vcd,count_trojan [3:0] $end,1,0
81,0,925000,925000,80,8.648648648648648e-05,7.580246913580247,0,11419.753086419752,2.025,3.605464602516574,15,1.9125,0.4330632253173151,dumptrojanC.vcd,count_trojan [3:0] $end,1,0
53,0,995000,995000,52,5.226130653266331e-05,7.811320754716981,0,18773.584905660377,2.076923076923077,3.7305709701483516,15,1.8846153846153846,0.3912435633407166,dumptrojanD.vcd,count_trojan [3:0] $end,1,0
3,0,645000,645000,2,3.10077519379845e-06,10.0,0,215000.0,15.0,0.0,15,4.0,0.9999999997114609,dumptrojanE.vcd,count_trojan [3:0] $end,1,1
38,0,995000,995000,37,3.7185929648241204e-05,7.5,0,26184.21052631579,1.7567567567567568,3.1657406409397453,15,1.8918918918918919,0.30337483579787494,dumptrojanF.vcd,count_trojan [3:0] $end,1,0
40,0,505000,505000,39,7.722772277227723e-05,7.375,0,12625.0,2.1025641025641026,3.469980209763057,15,1.9487179487179487,0.6309174594884055,dumptrojanG.vcd,count_trojan [3:0] $end,1,0
51,0,515000,515000,50,9.70873786407767e-05,7.450980392156863,0,10098.039215686274,3.84,2.6933993391251883,8,1.0,2.9966238099252074,dumptrustedA.vcd,count_trusted [3:0] $end,0,0
99,0,995000,995000,98,9.849246231155779e-05,7.696969696969697,0,10050.505050505051,1.8571428571428572,3.356382892705923,15,1.8673469387755102,0.332286629933076,dumptrustedB.vcd,count_trusted [3:0] $end,0,0
99,0,995000,995000,98,9.849246231155779e-05,7.303030303030303,0,10050.505050505051,1.8571428571428572,3.356382892705923,15,1.8673469387755102,0.332286629933076,dumptrustedC.vcd,count_trusted [3:0] $end,0,0
99,0,995000,995000,98,9.849246231155779e-05,4.454545454545454,0,10050.505050505051,1.7346938775510203,2.3103627262179436,9,1.8061224489795917,0.44257106455125883,dumptrustedD.vcd,count_trusted [3:0] $end,0,0
