toggles,toggle_rate,glitches,avg_jump,jump_max,bitflips, entropy,file,label
69,83.63636363636364,0,6.826086956521739,11,69,3.99131,dumptrojanA.vcd,1
80,96.96969696969697,0,3.1875,15,80,3.94167,dumptrojanB.vcd,1
80,86.48648648648648,0,2.025,15,80,3.94167,dumptrojanC.vcd,1
52,52.26130653266332,0,2.076923076923077,15,52,3.99843,dumptrojanD.vcd,1
2,3.1007751937984493,0,15.0,15,2,0.91829,dumptrojanE.vcd,1
37,37.185929648241206,0,1.7567567567567568,15,37,3.97084,dumptrojanF.vcd,1
39,77.22772277227723,0,2.1025641025641026,15,39,3.95869,dumptrojanG.vcd,1
50,97.08737864077669,0,3.84,8,50,2.99588,dumptrustedA.vcd,0
98,98.49246231155779,0,1.8571428571428572,15,98,3.35638,dumptrustedB.vcd,0
98,98.49246231155779,0,1.8571428571428572,15,98,3.35638,dumptrustedC.vcd,0
98,98.49246231155779,0,1.7346938775510203,9,98,2.31036,dumptrustedD.vcd,0
